Time,L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd
10.28754186630249,1.97810492,24.86676702,176.351825905691,-68.1134300788458,-1.2761686822104024,0.5605028830182341
10.311695337295532,2.86870882,24.51003973,179.443740636654,-72.1802296624269,-1.328536459221491,0.6303687006219948
10.337439775466919,3.76479876,24.13068022,182.101586459883,-76.0740871774379,-1.3768453715521132,0.6965624445780437
10.361578702926636,4.67788506,23.73627336,184.315545384631,-79.7665975080671,-1.4209783984278332,0.7588315782915731
10.390687704086304,5.60735681,23.34525748,186.077278844368,-83.2332712767766,-1.4608716719625645,0.8170437077713427
10.414734840393066,6.53093807,22.91330473,187.380008005793,-86.4538412738097,-1.4965050088381784,0.871163173348236
10.43871784210205,7.46379805,22.46378895,188.218603462039,-89.4124818846724,-1.5278929334062399,0.9212314773563035
10.463232278823853,8.40091057,22.00215267,188.589682617872,-92.0979406941831,-1.5550767233041825,0.9673471820639503
10.487192869186401,9.35099821,21.55808504,188.491712195591,-94.5035831257247,-1.578116922770047,1.0096449269120957
10.516690731048584,10.28955199,21.07947025,187.925112509915,-96.6273524851857,-1.5970871782361997,1.0482815892323718
10.54606032371521,11.22211129,20.5814361,186.892359504699,-98.4716490958072,-1.6120698209052564,1.083430046721041
10.575462818145752,12.16078856,20.09822189,185.398080065609,-100.043133331933,-1.6231527071041925,1.1152712099729651
10.604272842407227,13.0883131,19.59856695,183.449135857507,-101.352458306485,-1.6304270000074106,1.1439865540290588
10.632928371429443,13.99445595,19.0765868,181.054690869171,-102.413938754723,-1.6339856940690467,1.1697568669092913
10.661834716796875,14.90093098,18.56806447,178.226258008144,-103.245163330223,-1.6339231455076775,1.1927610226834373
10.691229581832886,15.79175264,18.05413505,174.977720451232,-103.866558107398,-1.6303354962459367,1.2131739976876015
10.720635652542114,16.66394915,17.53467193,171.32532399084,-104.300909579457,-1.6233212279586724,1.2311676121272934
10.750040531158447,17.47930435,16.98693907,167.287637317415,-104.572855872747,-1.6129813762038545,1.2469105256589035
10.77936339378357,18.30039705,16.45412464,162.885478003542,-104.708355263374,-1.59942100486088,1.2605687942126935
10.808497428894043,19.15877761,15.9660876,158.141802877371,-104.734141361906,-1.5827530345930847,1.2723102325229845
10.838302612304688,19.91601265,15.4252618,153.081562514247,-104.677174508113,-1.5630975935447275,1.2823023659150423
10.863964080810547,20.69646407,14.91776154,147.731520734561,-104.564098941484,-1.5405799349785014,1.290707748042099
10.887523889541626,21.41176205,14.38664292,142.120041246711,-104.420715148882,-1.5153327127254745,1.297685052234737
10.911399602890015,22.12152101,13.87300186,136.276844873826,-104.271476457487,-1.4874963713775684,1.3033883631118353
10.93501877784729,22.78433047,13.34684463,130.232742028004,-104.139018456371,-1.4572189339898909,1.3079659938083399
10.958712816238403,23.41820919,12.82512535,124.019346154306,-104.04372923494,-1.4246561162947777,1.3115591513847074
10.98247241973877,24.02068281,12.30396154,117.668774686366,-104.003367751605,-1.3899710456241565,1.3143000252656707
11.006656169891357,24.58971785,11.78370708,111.213344567793,-104.032736888186,-1.353334395776967,1.3163111981950433
11.030379295349121,25.12630715,11.26360463,104.68526959474,-104.143416919407,-1.3149238694457697,1.3177047858154514
11.054213047027588,25.62493686,10.74058879,98.1163667138278,-104.343564217145,-1.2749220928371654,1.3185807687980278
11.086780309677124,26.09353832,10.21838232,91.5377779787449,-104.637778998892,-1.2335145152710703,1.319025587556453
11.118051767349243,26.52789727,9.69596429,84.9797141749912,-105.027044820828,-1.1908899292733033,1.3191126349082034
11.143580675125122,26.92931516,9.17138384,78.4712252034691,-105.50874129501,-1.147240357954135,1.3189028695215659
11.167498350143433,27.33729544,8.67411435,72.0400012220066,-106.076730167994,-1.1027599864075903,1.3184475922450016
11.196565866470337,27.63644841,8.1144992,65.7122073520588,-106.72151345798,-1.0576421927366881,1.317789303551198
11.222340106964111,27.97316192,7.60889987,59.5123535013408,-107.430460822295,-1.012072905045215,1.3169565212880916
11.246336936950684,28.23568786,7.06469121,53.4631995710285,-108.188101771503,-0.9662284761204177,1.3159620370835712
11.270297527313232,28.48551017,6.52402003,47.5856950355178,-108.976476830749,-0.9202826309089128,1.314808128568383
11.300883531570435,28.70059141,5.97636858,41.8989506270188,-109.775540325065,-0.8744121522303978,1.313491146254397
11.33248257637024,28.89204165,5.4261963,36.4202386843827,-110.563606207656,-0.8287949517903063,1.3120010249276313
11.35706901550293,29.06155398,4.8728115,31.16501769033,-111.317827298307,-0.7836066896266143,1.310320665891675
11.387086868286133,29.20641298,4.31556187,26.1469756884976,-112.014697478256,-0.7390187884569037,1.3084247633396977
11.416163682937622,29.31080469,3.73581295,21.3780867096336,-112.630565827739,-0.6951893853274327,1.3062763751783133
11.44516658782959,29.41175422,3.17085305,16.8686740928055,-113.14215139164,-0.6522584914983525,1.3038251235379166
11.474084615707397,29.49265074,2.60246926,12.6274747010595,-113.527047202229,-0.6103589039402013,1.3010090629530238
11.501487493515015,29.59549399,2.07372622,8.6616985310321,-113.764202364091,-0.5696207161828396,1.2977586604227227
11.525408029556274,29.62186651,1.49153757,4.97707910425681,-113.834371376933,-0.5301613162238068,1.294001130883755
