time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
35.625,28.6655192,-11.81238399,-1.2484388,-11.02369398,-0.36245609,8.53982223,-8.04571381,9.02302141,-2.59546356,-4.32345991,12.05875841,11.50750469
35.63,28.61925866,-12.02945669,-1.07572488,-9.53359529,-0.48031574,8.64887845,-8.48573718,9.21395948,-2.5313213,-4.14726443,12.26126359,11.68068447
35.635,28.43949166,-12.19266061,-0.98910505,-8.11847929,-0.53581602,8.70184984,-9.03398935,9.32114129,-2.53138921,-3.96840862,12.50999703,12.05704815
35.64,28.39599538,-12.38952079,-0.80983153,-6.84979108,-0.6231569,8.78252983,-9.44176864,9.47341398,-2.45509946,-3.86750736,12.73534933,12.2267114
35.645,28.23546372,-12.53129053,-0.71918774,-5.66532553,-0.65360456,8.77091095,-9.93485929,9.54047841,-2.44021409,-3.77745839,13.01058909,12.60067362
35.65,28.18820779,-12.69358313,-0.54393081,-4.63002033,-0.70836422,8.81273013,-10.30919272,9.6394575,-2.35360583,-3.76129958,13.2568567,12.77318295
35.655,28.04933135,-12.79787662,-0.45835591,-3.68618189,-0.71778942,8.74058739,-10.74009541,9.65236106,-2.32620099,-3.76606832,13.54852528,13.13393323
35.66,27.99841994,-12.91351038,-0.30358704,-2.89139443,-0.74341935,8.73656465,-11.07574504,9.68998596,-2.23487258,-3.84475137,13.81102996,13.31117849
35.665,27.87326141,-12.96421689,-0.23417301,-2.18819563,-0.74457098,8.60549654,-11.44680155,9.63665675,-2.20896806,-3.94698866,14.10152325,13.66931085
35.67,27.79099035,-13.00836734,-0.13238139,-1.6216851,-0.75074837,8.50504916,-11.76052345,9.58347015,-2.15219523,-4.11463817,14.38145165,13.93446491
35.675,27.71789462,-13.02761322,-0.04373098,-1.17396507,-0.75843578,8.38745778,-12.03822657,9.49851486,-2.09389462,-4.33723229,14.64654251,14.1761194
35.68,27.67658734,-13.0348064,0.04874006,-0.85803773,-0.75165893,8.30752654,-12.27501337,9.40936508,-1.99367247,-4.61013795,14.90840811,14.31586889
35.685,27.57396714,-12.97414846,0.08944147,-0.62193269,-0.80545497,8.07760791,-12.51945105,9.23498871,-1.97835703,-4.94035018,15.1388182,14.66045615
35.69,27.51231313,-12.90221808,0.14452099,-0.51710815,-0.83901546,7.89278306,-12.71310524,9.05614093,-1.92750576,-5.32483611,15.36843304,14.88540182
35.695,27.46375717,-12.81134566,0.18124209,-0.51406893,-0.85640234,7.73274478,-12.86475452,8.85657644,-1.85098806,-5.76773418,15.58570586,15.03075572
35.7,27.40517596,-12.67835517,0.22329952,-0.61865614,-0.97359082,7.46917997,-13.00636921,8.61712653,-1.82590533,-6.26294746,15.73892866,15.29069583
35.705,27.36684683,-12.51883158,0.2551767,-0.81833829,-1.05186113,7.26851072,-13.10238501,8.35448869,-1.75404068,-6.81279243,15.8768623,15.43487993
35.71,27.32837403,-12.33779323,0.24600856,-1.09842452,-1.14800994,7.05108959,-13.16097763,8.06926179,-1.71429383,-7.43640674,15.96346277,15.55784189
35.715,27.29031886,-12.13237531,0.32399805,-1.46439183,-1.37342237,6.70908343,-13.20392734,7.76753305,-1.67378218,-8.10240196,16.01458442,15.77702804
35.72,27.26989631,-11.89187376,0.31190543,-1.91621601,-1.50443578,6.50072975,-13.20467771,7.43188939,-1.6311704,-8.82538208,15.98488982,15.85204282
35.725,27.25177787,-11.62903016,0.33534988,-2.42770163,-1.76271347,6.18666455,-13.16674187,7.07006875,-1.57886859,-9.60895555,15.93316337,15.97845005
35.73,27.24399363,-11.36441577,0.44176218,-2.99483723,-2.0704657,5.75242253,-13.09404264,6.73050581,-1.55470497,-10.468462,15.82815437,16.11033923
35.735,27.23547275,-11.05700318,0.48660639,-3.61124125,-2.36286152,5.45178607,-12.9863485,6.34113441,-1.50241109,-11.37430572,15.63617523,16.17355722
35.74,27.2156992,-10.73105577,0.48721141,-4.27846209,-2.5834068,5.24434452,-12.86613864,5.93318959,-1.46526388,-12.32446607,15.31609746,16.21250548
35.745,27.23071364,-10.39312633,0.60317208,-4.95884024,-3.03102458,4.73593581,-12.65443184,5.52807846,-1.41519661,-13.37539283,15.03786945,16.26246578
35.75,27.2018359,-10.0234897,0.61193045,-5.67930939,-3.26811967,4.54742886,-12.46976658,5.08597396,-1.38128779,-14.43933268,14.54514386,16.28520124
35.755,27.23001181,-9.64564055,0.75967002,-6.39869507,-3.72023109,3.99033189,-12.16765904,4.65550173,-1.32982651,-15.60688151,14.07292257,16.27695045
35.76,27.20189781,-9.2401273,0.7884723,-7.11623361,-4.09151399,3.73841621,-11.87829093,4.18947682,-1.30336706,-16.8153627,13.46680105,16.25574447
35.765,27.18451493,-8.81521609,0.86975361,-7.83650483,-4.44821137,3.38649322,-11.53526767,3.7138243,-1.25095277,-18.07816496,12.75238396,16.21802827
35.77,27.14083511,-8.37652377,0.91617981,-8.53840432,-4.77927743,3.10901533,-11.1615633,3.22132196,-1.22750914,-19.40257149,11.93718393,16.16738854
35.775,27.09332661,-7.91736623,0.97877386,-9.22580956,-5.09069282,2.81359045,-10.74345704,2.71654925,-1.18448699,-20.77457702,11.01161663,16.09612775
35.78,27.02001681,-7.43981242,1.01428785,-9.8871856,-5.36199559,2.57991023,-10.29518822,2.19294297,-1.15425603,-22.20145724,9.97298351,16.02178806
35.785,26.93146495,-6.94657636,1.03795412,-10.52332811,-5.59459854,2.35854701,-9.80735969,1.65555165,-1.1284154,-23.67560639,8.8248174,15.92717466
35.79,26.82427184,-6.43758624,1.06322948,-11.11392345,-5.79439988,2.14791651,-9.27182458,1.1040434,-1.09873521,-25.20352457,7.56747031,15.80566292
35.795,26.69418121,-5.91417012,1.08930013,-11.65892171,-5.93768347,1.95676066,-8.69470159,0.53839341,-1.06152248,-26.77582497,6.2000931,15.66322073
35.8,26.53888591,-5.37469386,1.06656097,-12.18233023,-6.0329395,1.81988936,-8.09673736,-0.04675802,-1.04721767,-28.37948587,4.73093584,15.53147246
35.805,26.38408401,-4.82980287,1.0810153,-12.64833143,-6.06527089,1.63726949,-7.42622535,-0.62924761,-0.99093674,-30.02732233,3.16109828,15.2848367
35.81,26.17064155,-4.25949444,1.04323315,-13.06585792,-6.08478261,1.57672473,-6.75914617,-1.24794795,-0.96872112,-31.69761692,1.51248703,15.14182919
35.815,25.94983171,-3.68743967,1.01235499,-13.43819,-6.03029637,1.49721283,-6.03905031,-1.86435396,-0.91854216,-33.39397775,-0.21296874,14.90228047
35.82,25.72533136,-3.11421372,0.9627796,-13.78506692,-5.8992342,1.41720037,-5.27510309,-2.48194561,-0.86224172,-35.110742,-1.9931646,14.59512845
