time,hip_flexion_velocity_r,hip_adduction_velocity_r,hip_rotation_velocity_r,knee_velocity_r,ankle_velocity_r,subtalar_velocity_r,hip_flexion_velocity_l,hip_adduction_velocity_l,hip_rotation_velocity_l,knee_velocity_l,ankle_velocity_l,subtalar_velocity_l
36.545,119.978450876548,24.486657468091,-32.7853942180888,57.1696461216604,182.90326900509,23.2669081283289,-102.029647840974,-4.12665962772716,2.57956749320438,49.5821012639952,39.2024800696976,29.540705155819
36.55,113.863396106368,24.4177081433194,-37.8116058166158,75.2492211465217,174.011454771591,23.3301721472925,-101.835888760091,-6.00294871386357,4.55611478974626,49.2781045120785,39.3875901706629,31.8817367637426
36.555,107.683113110422,23.8706210061751,-42.58097986716,92.9753235961613,163.487642944863,22.8370961216277,-101.726196947524,-7.51064604269736,6.51888551698253,48.9897109670846,39.7458659755986,34.0052313150419
36.56,101.465559296198,22.885152382148,-47.0145566731752,110.331406893565,151.626784766032,21.8092527081148,-101.70507357708,-8.65336342891604,8.44553420421769,48.7393021714314,40.2330740069324,35.8785894673514
36.565,95.2381697673175,21.5049501090503,-51.0382215393153,127.307828576449,138.730654225774,20.2787371754606,-101.774261792955,-9.43745788706375,10.3134201894609,48.5479304786511,40.8034405023395,37.4751858265534
36.57,89.0274491691972,19.7762844513143,-54.5844047484904,143.90097527581,125.100853993542,18.2874828694348,-101.932952429713,-9.87168195113216,12.099971701179,48.4348106685399,41.4111644992434,38.775117729523
36.575,82.8585907133886,17.7467990948599,-57.5936323738343,160.112173597675,111.032193505215,15.8863338129441,-102.178023234099,-9.96686182948497,13.7830701782588,48.4168181620069,42.0118761592714,39.7658031655131
36.58,76.7551374164716,15.4643208471966,-60.01589182237,175.946409087095,96.806603249981,13.133905074081,-102.504300182587,-9.73561527204225,15.3414455007565,48.5080084841521,42.5640073172424,40.4424081440372
36.585,70.7386986089111,12.9757634532786,-61.811781180375,191.410883298762,82.6877260432368,10.0952669625949,-102.904829800819,-9.19211833882457,16.7550720756541,48.7191721900969,43.0300446210236,40.8080871171458
36.59,64.8287322335233,10.326156581122,-62.953417184772,206.51344640038,68.9162990917613,6.84049301755139,-103.371152091091,-8.35192726169704,18.0055553672606,49.0574386083377,43.377639398396,40.8740240164914
36.595,59.0424004770234,7.55782568376397,-63.4250828232567,221.260949371449,55.7064110055168,3.44311404053814,-103.893564699102,-7.23185839654862,19.0764984757272,49.5259404952407,43.580552425786,40.6592659815632
36.6,53.3945029945371,4.70974229541894,-63.2236019980485,235.657565408017,43.2426867130323,-0.0214788807335651,-104.461370240619,-5.84992598826127,19.953838744119,50.1235500733069,43.6194159766438,40.1903468438962
36.605,47.8974885448906,1.81705759125901,-62.3584352062797,249.703134336354,31.67842164239,-3.47764022568755,-105.063100226421,-4.22533423476196,20.6261451158307,50.8446950119858,43.4822998170785,39.5007028139284
36.61,42.5615423911274,-1.08917502779539,-60.8514966160793,263.391586417027,21.1346556353975,-6.85104479187787,-105.686710719034,-2.37851705443738,21.0848680617769,51.6792607733693,43.165072123985,38.6298884993781
36.615,37.3947434848894,-3.98208971588571,-58.736699087167,276.709502666247,11.7001479216185,-10.0701946573054,-106.319746661048,-0.331216148167423,21.3245353180587,52.6125834563922,42.6715505590721,37.6226072400321
36.62,32.4032824154739,-6.83891869302014,-56.0592394776501,289.634867629313,3.43218807731522,-13.067825878594,-106.94947366085,1.89341448028949,21.3428883590845,53.6255349048714,42.0134428741236,36.5275756025744
36.625,27.5917285196792,-9.64073838933729,-52.874641889664,302.136067316167,-3.64184490846039,-15.7821873485056,-107.562977786049,4.27069131318195,21.140956388725,54.6946994474677,41.2100803638525,35.3962475122805
36.63,22.9633325602137,-12.3720719889732,-49.2475812692769,314.171179769735,-9.52228183550228,-18.1581695839281,-108.14723550198,6.77428652198932,20.7230665709821,55.7926392696961,40.2879511599021,34.2814286732632
36.635,18.520350079831,-15.0203741182423,-45.2505139440188,325.687598585308,-14.2344408367325,-20.1482667726539,-108.68915724053,9.37613136387148,20.0967911508735,56.888243139897,39.2800437441456,33.2358164341341
36.64,14.2643699534958,-17.5754273514782,-40.9621452160537,336.622020752641,-17.8255119748472,-21.7133609414708,-109.175609152388,12.0463535236483,19.2728339334116,57.9471510717122,38.2250141534288,32.3105039092071
36.645,10.1966327841899,-20.0286829646052,-36.4657670224932,346.900819725895,-20.3611811100463,-22.8233224096237,-109.59341839816,14.753263419806,18.2648601885543,58.9322455658179,37.1661931829696,31.5534898238633
36.65,6.31832458559561,-22.3725798577484,-31.8475009122519,356.44081293192,-21.9221237626135,-23.4574255715926,-109.929367858544,17.4634030624705,17.0892753375233,59.8041983823879,36.1504524775992,31.0082370799451
36.655,2.63083263460987,-24.5998757188633,-27.1944831625944,365.150420361878,-22.6004934706894,-23.6045833466696,-110.170186357342,20.1416689393272,15.7649587043437,60.5220604029678,35.2269506981326,30.7123233059107
36.66,-0.864047585657873,-26.7030232695086,-22.5930297720191,372.931197929551,-22.4965186246448,-23.2634072141533,-110.302540370694,22.7515176414448,14.3129592009755,61.0438811043724,34.4457829164384,30.6962255656835
36.665,-4.16396288589027,-28.6736218350055,-18.1268193234331,379.679716379338,-21.7153075325986,-22.4421025393486,-110.313032725154,25.2552595843659,12.7561600989634,61.3273435269062,33.8565579865237,30.9822788871415
36.67,-7.26591593472324,-30.5019706027478,-13.8751313303246,385.289744150977,-20.3639442691758,-21.1582108557412,-110.188212996159,27.6144423353601,11.1189200663964,61.3304003960329,33.5069298620884,31.5838443368347
36.675,-10.1662444084833,-32.1767449419854,-9.91117668950134,389.654681275364,-18.54893852896,-19.4382119244234,-109.914603291643,29.7903208785587,9.42669744301307,61.0118972634289,33.4411097271702,32.5047170821981
36.68,-12.8606651468421,-33.6848112758737,-6.30055529312559,392.670181520828,-16.3740721500237,-17.3169988013772,-109.478741918497,31.7444078152386,7.70566430814277,60.3321691569983,33.6983864200604,33.7387983666063
36.685,-15.3443797989114,-35.0111894756486,-3.09987372528174,394.236892016923,-13.9386641069603,-14.8372389011448,-108.867246149386,33.4390921961973,5.98231630180454,59.2535982443626,34.3116829916261,35.2700477430918
36.69,-17.6122358196059,-36.1391648706482,-0.355553305587404,394.263233861882,-11.3362554942555,-12.0486332856111,-108.066894017275,34.8383116145281,4.28308344818465,57.7411213979737,35.3061773668776,37.0727234864942
36.695,-19.6589344839016,-37.0505450260693,1.89714444326142,392.668143994033,-8.65369716684865,-9.00708528818203,-107.064723814327,35.9082585366974,2.63394647239718,55.7626782518501,36.6980149716012,39.1119100812787
36.7,-21.4792759227162,-37.7260497322207,3.63485152206011,389.38369807673,-5.97060603113905,-5.77378829433809,-105.848148829925,36.6180987989989,1.06006236987931,53.2895923110832,38.4931408418526,41.3443223559883
36.705,-23.0684301150777,-38.1458164672143,4.84656718691743,384.357536405487,-3.35914212377427,-2.41424123913908,-104.405083895787,36.9406779104498,-0.414597651656711,50.2968798579998,40.6862781452762,43.7193665286426
36.71,-24.4222223259398,-38.2899982038495,5.53385717328032,377.55501979917,-0.884048068478553,1.00280065058869,-102.724079556726,36.8531894143409,-1.76759523481218,46.7634837191646,43.2600791895866,46.1804294776991
36.715,-25.5374216558548,-38.1394260714737,5.71076903374432,368.961049981005,1.3971144060471,4.40643295760735,-100.794459219752,36.3377791772716,-2.97835463837501,42.6724313550947,46.1844738580822,48.6663593179475
36.72,-26.4120221246546,-37.6763062459681,5.40345977098397,358.581498784925,3.43359931488492,7.72476014998582,-98.6064544825067,35.3820601607243,-4.02847303759318,38.0109191352833,49.416238962144,51.1130931833372
36.725,-27.0455069584554,-36.8849186730874,4.64953788878223,346.444202226833,5.18105038049966,10.8860971208376,-96.1513340136866,33.9795140166333,-4.90200912809584,32.7703269892544,52.8988101923817,53.4553823092771
36.73,-27.4390883582446,-35.7522849435688,3.49712825940845,332.599488615532,6.60107754717558,13.8202053125069,-93.4215218457873,32.1297587444543,-5.58574754290784,26.9461698048306,56.5623561367386,55.6285603239209
36.735,-27.5959168306295,-34.268773887682,2.00367475157748,317.120223859099,7.66089184317168,16.4595524787297,-90.4107016840786,29.8386656242791,-6.06943613142517,20.5379938843528,60.3241311570305,57.5702982783874
36.74,-27.5212559781076,-32.4286162288015,0.234502285530571,300.101371332046,8.33304388029776,18.7405824700215,-87.1139047534146,27.1183136210133,-6.3459924983597,13.5492283766785,64.0891207166065,59.2222894749087
36.745,-27.2226203231887,-30.2303038369468,-1.73883326080056,281.659077570026,8.59529852167439,20.6049783126139,-83.5275797299573,23.9867752998519,-6.41167540222614,5.98700280390026,67.7509889930617,60.5318086498284
